Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
The Bahamas,BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.74983109,4.746698752,5.996432199,5.55819871,8.118596528,9.399945733,7.466084556,11.17350449,10.2869904,10.62704414,15.20013463,38.72277085,36.495974,43.38030955,39.91963673,43.70144852,33.51349628,49.29813614,32.79192699,33.63762995,37.93028102,13.0062023,10.27147553,8.956453389,8.066908971,6.437609722,5.903757292,5.84557739,6.220651493,7.731095874,7.610436221,6.825539444,6.738756919,6.276121798,6.115655137,6.010187467,5.881615776,4.755613659,5.7928092,5.710903688,5.603474622,5.179703305,5.102301004,4.809957418,5.345812655,4.858311455,4.534282616,4.524129584,3.000215307,4.634282297,6.835610738,,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998384772,0.759364211,0.882827528,0.973771342,1.735882889,4.130562574,5.166886809,4.821239796,6.056574441,5.33599675,5.880252844,5.964860686,6.333502799,6.602782907,7.011019941,7.2076202,8.027852215,7.938378791,8.093102083,,,
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.563751566,7.271325422,6.445128092,6.093680596,5.920977854,5.883075714,5.72028692,5.562438864,5.34418061,5.297721696,5.310737861,5.483469429,5.964810791,6.112425644,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,,,
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.47795108,0.38721872,0.715409338,0.622356888,0.818288542,0.794762582,0.737799971,1.073753982,0.884672715,1.13767399,0.990440256,1.146010962,1.240137478,1.13446873,1.172939546,1.320836554,1.302423323,1.44548182,1.556810005,1.479173154,1.322807334,1.242494884,1.13763218,1.106077525,1.074883686,1.156249242,1.211180381,1.304757532,1.39378221,1.639839012,1.66191243,1.877879269,1.825089536,1.90354299,1.848468974,1.824977532,1.450396704,1.779086798,1.64546856,2.593754852,2.889507347,2.901320565,1.427380981,1.447802559,1.438907335,1.456443071,1.458992419,1.486296105,1.386630284,1.376574667,1.366532186,,,
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.551373874,3.868483516,3.383712446,3.151928721,4.124437628,3.586487026,3.954607843,4.090115385,4.220509434,3.667,4.133709091,4.231153846,4.668321033,7.906542751,8.30911985,8.648584906,8.822857143,8.515131086,7.936044776,8.588141264,7.981946223,7.0608901,7.142347022,8.064384051,7.863938465,7.92718549,7.412986651,9.952099431,11.12411949,13.33658503,10.07519469,8.636129513,6.946616606,8.154422,7.974426837,7.794814716,7.928121206,7.879894871,7.581543409,8.077751489,8.006161758,7.920213106,8.335150687,8.0491591,10.52809853,6.916279577,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.299648239,0.30377654,0.313827673,0.33859158,0.404045837,0.402768614,0.440442494,0.481718632,0.54173047,0.619011487,0.589537537,0.708566402,0.806390057,0.761636775,0.755715434,0.851346122,0.937718405,0.895861651,0.981616906,0.903503223,0.869468631,0.871870357,0.7727068,0.744513874,0.684906274,0.682923514,0.610727891,0.636533502,0.66477661,0.752668989,0.810145678,0.830733263,0.933314138,1.102200063,1.193383427,1.234282016,1.118848032,1.233590536,1.266993971,1.239016881,1.20344554,1.13321239,1.081852805,1.566960714,1.42407612,1.317495499,1.566607459,1.31840552,1.400560784,1.441714967,1.521808822,,,
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.644557813,0.656155408,0.694762881,0.698333527,0.691756745,0.668391583,0.741502787,0.743304501,0.847269617,0.899748249,0.976068818,1.042749973,1.134408272,1.283200473,1.357290624,1.396832564,1.400205889,1.436349545,1.523105427,1.583551161,1.536797001,1.378743237,1.350135926,1.277308691,1.265756331,1.330529733,1.430575145,1.463875808,1.449358932,1.455170019,1.395852347,1.441508396,1.427610644,1.469568683,1.518845849,1.595813094,1.732335845,1.800488226,1.842713927,1.861402685,1.879510648,1.906747447,1.852165065,1.769553491,1.835908496,1.865823683,1.847979036,1.911676126,2.021610272,1.89749147,2.150268044,,,
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.746558491,0.83917029,1.119747628,0.816563892,0.766310699,0.872746436,1.134591584,1.426691364,1.856732364,2.021108213,1.798031146,2.01799353,2.081390579,1.977096032,2.010112373,2.31367768,2.156743843,2.388915415,2.547432873,2.424023056,2.712103672,2.746255447,2.57353856,2.721373607,2.954536658,3.330307367,3.588764925,3.674148148,3.674163194,3.830980139,4.143007527,4.637044297,3.751830719,4.259489366,2.850423524,3.149134573,3.223931728,3.40915172,4.297535516,4.545526256,4.446678394,4.551357456,4.557831585,4.684549039,4.755426976,4.946203503,4.988516785,5.163162333,5.89078427,5.822387332,5.361952382,,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.078577802,3.552340714,4.133790948,3.798539101,3.482608962,3.255072379,4.573510797,3.905564924,3.630815971,3.937439955,63.29383514,55.39397378,66.7070445,67.41664753,53.01446365,44.03839145,36.01782095,36.79278326,52.90565012,39.83522149,35.65394796,7.384531558,10.21129659,12.83037098,8.842663163,11.64017378,10.02213911,14.06308532,23.54959672,25.4164361,24.99101697,22.00211098,21.35998676,19.98379414,18.82181508,18.69529462,18.49797859,18.75482407,18.86595169,14.17073599,19.67221316,18.27476896,15.36001582,15.14916485,14.85919783,13.93762081,12.8693451,26.67765573,27.27448024,23.05821501,22.86788543,,,
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,0.012577387,0.012152122,0.011722284,0.011297573,0.010887703,0.01049874,0.010129666,0.019559785,0.028360914,0.054929335,0.053306521,0.060528388,0.075940192,0.06592241,0.112494029,0.132849861,0.113555193,0.204863605,0.212659432,0.117727598,0.239566729,0.349626569,0.409523683,0.360302164,0.415736882,0.489792872,0.593766217,0.759932917,0.721394619,0.701851443,0.708253743,0.669151368,0.698528711,0.612769982,0.485930591,0.608895524,0.589525037,0.577552567,0.6092603,0.55170877,0.664924073,,,
